"object link","text"
"https://pec.ac.in/sites/default/files/uploads/internship_details_ece_19.xlsx","Internship Data 2019-20"
"https://pec.ac.in/sites/default/files/uploads/expert_lectures_ece_16-19.xlsx","Details of Expert Lectures Organised by the ECE Deptt. (2016-19)"
"https://pec.ac.in/sites/default/files/attachments/Press%20Release%2015-10-15%20_pawan%20garg.docx","A 1969 batch alumnus returns to PEC to deliver lecture on RF spectrum allocation"
"https://pec.ac.in/sites/default/files/attachments/Press%20Release_QTL%20establishes%20%20Videocon%20Advanced%20Communication%20Lab%20%20at%20PEC.DOC","Connect Broadband establishes Videocon Advanced Communication Lab at PEC University of Technology on 19 November, 2015"
"https://pec.ac.in/sites/default/files/uploads/internship_metta_18192.pdf","Student Internship"
"https://pec.ac.in/sites/default/files/uploads/sponsored_projects_metta_20.pdf","Sponsored R & D Projects"
"https://pec.ac.in/sites/default/files/uploads/adavance_technology_lab.pdf","Click here to Download Brochure"
"https://pec.ac.in/sites/default/files/attachments/2005-06.pdf","Consultancy projects for the year 2005-06"
"https://pec.ac.in/sites/default/files/attachments/2006-07.pdf","Consultancy projects for the year 2006-07"
"https://pec.ac.in/sites/default/files/attachments/2007-08.pdf","Consultancy projects for the year 2007-08"
"https://pec.ac.in/sites/default/files/attachments/2008-09.pdf","Consultancy projects for the year 2008-09"
"https://pec.ac.in/sites/default/files/attachments/2009-10.pdf","Consultancy projects for the year 2009-10"
"https://pec.ac.in/sites/default/files/attachments/2010-11.pdf","Consultancy projects for the year 2010-11"
"https://pec.ac.in/sites/default/files/attachments/2011-12.pdf","Consultancy projects for the year 2011-12"
"https://pec.ac.in/sites/default/files/attachments/2012-13.pdf","Consultancy projects for the year 2012-13"
"https://pec.ac.in/sites/default/files/attachments/2013-2014.pdf","Consultancy projects for the year 2013-14"
"https://pec.ac.in/sites/default/files/attachments/2014-2015.pdf","Consultancy projects for the year 2014-15"
"https://pec.ac.in/sites/default/files/attachments/consultancy_projects_10-11-16.pdf","Consultancy projects for the year 2015-16"
"https://pec.ac.in/sites/default/files/attachments/consultancy_projects_2016-17.pdf","Consultancy projects for the year 2016-17"
"https://pec.ac.in/sites/default/files/attachments/consultancy_projects_list_2017-2018_dsric_updated.pdf","Consultancy projects for the year 2017-18"
"https://pec.ac.in/sites/default/files/1_2.jpg",""
"https://pec.ac.in/sites/default/files/2_2.jpg",""
"https://pec.ac.in/sites/default/files/1_1.jpg",""
"https://pec.ac.in/sites/default/files/2_1.jpg",""
"https://pec.ac.in/sites/default/files/3_1.jpg",""
"https://pec.ac.in/sites/default/files/5.jpg",""
"https://pec.ac.in/sites/default/files/6.jpg",""
"https://pec.ac.in/sites/default/files/4.jpg",""
"https://pec.ac.in/sites/default/files/uploads/events/PEC_Application-Form-2020-Student%20Awards.pdf","Extra-Curricular Activities Awards Application Form 2019 - 2020"
"https://pec.ac.in/sites/default/files/uploads/shielly_sachdeva_16-20.pdf","Applications are invited from the BE graduates of the batch 2016-20 for the award of Sheilly Sachdeva Memorial Gold Medal for Social Activities"
"https://pec.ac.in/sites/default/files/uploads/charu_puri_16-20.pdf","Applications are hereby invited from the various club members for Ms. Charu Puri Award for Excellence in Club/Cultural Activities from final year students."
"https://pec.ac.in/sites/default/files/attachments/Clubs%20Performa.pdf","Performa for Seeking Event Permission and according Financial Sanction By Clubs/Societies/Sports Department"
"https://pec.ac.in/sites/default/files/attachments/FEST-participation-and-Financial-Sanction1.pdf","Performa for Seeking Permission and Financial Sanction for Participating in College Fests and Other Competitions"
"https://pec.ac.in/sites/default/files/attachments/student_performa.pdf","Post Graduate Students Conference Grants under Key activity 3 of TEQIP-II"
